order_id,product_id,location_id,sales,cost,gross_profit,units
82,4,45,6.5,2.28,4.22,2
83,1,45,7.5,2.6,4.9,2
84,5,44,10.47,3.0,7.47,3
85,1,4,7.5,2.6,4.9,2
86,3,46,10.8,3.6,7.2,3
87,3,20,46.8,15.6,31.2,13
88,3,47,7.2,2.4,4.8,2
89,2,48,10.8,3.3,7.5,3
90,4,49,9.75,3.42,6.33,3
91,4,50,13.0,4.56,8.44,4
92,3,46,7.2,2.4,4.8,2
93,5,46,6.98,2.0,4.98,2
94,4,50,6.5,2.28,4.22,2
95,4,51,19.5,6.84,12.66,6
96,1,51,7.5,2.6,4.9,2
97,1,52,11.25,3.9,7.35,3
98,5,53,20.94,6.0,14.94,6
99,1,52,7.5,2.6,4.9,2
100,5,53,6.98,2.0,4.98,2
101,3,54,10.8,3.6,7.2,3
102,1,55,11.25,3.9,7.35,3
103,3,56,14.4,4.8,9.6,4
104,5,57,6.98,2.0,4.98,2
105,2,57,14.4,4.4,10.0,4
106,2,57,3.6,1.1,2.5,1
107,2,58,7.2,2.2,5.0,2
108,2,38,18.0,5.5,12.5,5
109,1,8,3.75,1.3,2.45,1
110,1,59,15.0,5.2,9.8,4
111,2,38,7.2,2.2,5.0,2
112,1,8,11.25,3.9,7.35,3
113,3,60,18.0,6.0,12.0,5
114,3,61,10.8,3.6,7.2,3
115,2,61,10.8,3.3,7.5,3
116,1,62,18.75,6.5,12.25,5
117,4,63,19.5,6.84,12.66,6
118,5,64,10.47,3.0,7.47,3
119,1,8,22.5,7.8,14.7,6
120,2,3,7.2,2.2,5.0,2
121,4,65,6.5,2.28,4.22,2
122,3,39,7.2,2.4,4.8,2
123,7,66,3.0,1.6,1.4,2
124,5,32,17.45,5.0,12.45,5
125,4,67,13.0,4.56,8.44,4
126,1,67,7.5,2.6,4.9,2
127,2,68,7.2,2.2,5.0,2
128,2,68,3.6,1.1,2.5,1
129,4,69,9.75,3.42,6.33,3
130,4,69,13.0,4.56,8.44,4
131,2,70,7.2,2.2,5.0,2
132,2,38,7.2,2.2,5.0,2
133,5,71,17.45,5.0,12.45,5
134,5,38,10.47,3.0,7.47,3
135,5,72,6.98,2.0,4.98,2
136,1,73,15.0,5.2,9.8,4
137,4,73,45.5,15.96,29.54,14
138,1,73,22.5,7.8,14.7,6
139,5,74,6.98,2.0,4.98,2
140,1,73,7.5,2.6,4.9,2
141,3,2,10.8,3.6,7.2,3
142,3,2,7.2,2.4,4.8,2
143,2,39,10.8,3.3,7.5,3
144,4,45,13.0,4.56,8.44,4
145,3,44,18.0,6.0,12.0,5
146,3,75,28.8,9.6,19.2,8
147,1,76,3.75,1.3,2.45,1
148,2,3,39.6,12.1,27.5,11
149,2,3,10.8,3.3,7.5,3
150,3,77,32.4,10.8,21.6,9
151,4,78,6.5,2.28,4.22,2
152,5,32,17.45,5.0,12.45,5
153,3,7,7.2,2.4,4.8,2
154,5,79,6.98,2.0,4.98,2
155,1,65,15.0,5.2,9.8,4
156,4,65,6.5,2.28,4.22,2
157,2,32,18.0,5.5,12.5,5
158,1,42,18.75,6.5,12.25,5
159,1,80,7.5,2.6,4.9,2
160,3,3,18.0,6.0,12.0,5
161,5,3,6.98,2.0,4.98,2
162,4,4,3.25,1.14,2.11,1
163,5,3,3.49,1.0,2.49,1
164,4,4,6.5,2.28,4.22,2
165,5,3,10.47,3.0,7.47,3
166,5,3,27.92,8.0,19.92,8
167,4,4,19.5,6.84,12.66,6
168,2,3,14.4,4.4,10.0,4
169,3,3,7.2,2.4,4.8,2
170,2,3,10.8,3.3,7.5,3
171,5,81,3.49,1.0,2.49,1
172,2,82,7.2,2.2,5.0,2
173,3,82,7.2,2.4,4.8,2
174,4,1,6.5,2.28,4.22,2
175,3,2,7.2,2.4,4.8,2
176,1,83,22.5,7.8,14.7,6
177,1,84,7.5,2.6,4.9,2
178,2,39,3.6,1.1,2.5,1
179,2,44,10.8,3.3,7.5,3
180,2,39,21.6,6.6,15.0,6
181,5,3,10.47,3.0,7.47,3
182,2,85,7.2,2.2,5.0,2
183,1,86,11.25,3.9,7.35,3
184,2,85,10.8,3.3,7.5,3
185,1,86,18.75,6.5,12.25,5
186,3,2,14.4,4.8,9.6,4
187,1,52,15.0,5.2,9.8,4
188,5,87,10.47,3.0,7.47,3
189,3,87,10.8,3.6,7.2,3
190,1,1,7.5,2.6,4.9,2
191,2,88,25.2,7.7,17.5,7
192,2,88,10.8,3.3,7.5,3
193,3,71,7.2,2.4,4.8,2
194,5,71,6.98,2.0,4.98,2
195,1,89,7.5,2.6,4.9,2
196,5,90,13.96,4.0,9.96,4
197,2,90,21.6,6.6,15.0,6
198,4,89,16.25,5.7,10.55,5
199,2,90,18.0,5.5,12.5,5
200,3,71,18.0,6.0,12.0,5
201,4,91,3.25,1.14,2.11,1
202,1,92,3.75,1.3,2.45,1
203,2,93,3.6,1.1,2.5,1
204,4,94,9.75,3.42,6.33,3
205,1,65,26.25,9.1,17.15,7
206,2,39,18.0,5.5,12.5,5
207,1,95,26.25,9.1,17.15,7
208,1,96,11.25,3.9,7.35,3
209,1,96,26.25,9.1,17.15,7
210,4,97,9.75,3.42,6.33,3
211,2,61,18.0,5.5,12.5,5
212,3,98,7.2,2.4,4.8,2
213,1,4,7.5,2.6,4.9,2
214,2,99,21.6,6.6,15.0,6
215,1,10,52.5,18.2,34.3,14
216,5,11,6.98,2.0,4.98,2
217,2,11,18.0,5.5,12.5,5
218,5,11,10.47,3.0,7.47,3
219,2,11,10.8,3.3,7.5,3
220,4,10,9.75,3.42,6.33,3
221,1,10,22.5,7.8,14.7,6
222,3,11,7.2,2.4,4.8,2
223,1,10,18.75,6.5,12.25,5
224,4,65,6.5,2.28,4.22,2
225,5,38,10.47,3.0,7.47,3
226,2,38,21.6,6.6,15.0,6
227,4,100,13.0,4.56,8.44,4
228,8,101,20.0,10.0,10.0,1
229,3,2,7.2,2.4,4.8,2
230,1,102,11.25,3.9,7.35,3
231,1,102,45.0,15.6,29.4,12
232,4,103,6.5,2.28,4.22,2
233,3,104,14.4,4.8,9.6,4
234,2,105,32.4,9.9,22.5,9
235,3,106,7.2,2.4,4.8,2
236,2,44,18.0,5.5,12.5,5
237,4,45,16.25,5.7,10.55,5
238,5,44,17.45,5.0,12.45,5
239,2,107,10.8,3.3,7.5,3
240,4,108,35.75,12.54,23.21,11
241,2,3,18.0,5.5,12.5,5
242,4,109,9.75,3.42,6.33,3
243,4,109,6.5,2.28,4.22,2
244,5,110,6.98,2.0,4.98,2
245,3,38,14.4,4.8,9.6,4
246,1,111,52.5,18.2,34.3,14
247,4,112,22.75,7.98,14.77,7
248,1,112,7.5,2.6,4.9,2
249,2,113,10.8,3.3,7.5,3
250,6,114,12.5,6.0,6.5,10
251,1,112,26.25,9.1,17.15,7
252,1,112,15.0,5.2,9.8,4
253,2,32,3.6,1.1,2.5,1
254,2,44,25.2,7.7,17.5,7
255,3,44,7.2,2.4,4.8,2
256,1,45,11.25,3.9,7.35,3
257,4,115,6.5,2.28,4.22,2
258,2,116,7.2,2.2,5.0,2
259,3,20,7.2,2.4,4.8,2
260,6,117,8.75,4.2,4.55,7
261,5,38,10.47,3.0,7.47,3
262,3,39,10.8,3.6,7.2,3
263,8,118,40.0,20.0,20.0,2
264,1,65,15.0,5.2,9.8,4
265,1,65,22.5,7.8,14.7,6
266,4,112,9.75,3.42,6.33,3
267,3,113,7.2,2.4,4.8,2
268,8,119,60.0,30.0,30.0,3
269,1,120,33.75,11.7,22.05,9
270,3,3,7.2,2.4,4.8,2
271,4,4,6.5,2.28,4.22,2
272,4,4,13.0,4.56,8.44,4
273,3,3,10.8,3.6,7.2,3
274,2,3,18.0,5.5,12.5,5
275,4,121,6.5,2.28,4.22,2
276,1,121,15.0,5.2,9.8,4
277,4,22,26.0,9.12,16.88,8
278,4,22,6.5,2.28,4.22,2
279,2,44,14.4,4.4,10.0,4
280,3,44,14.4,4.8,9.6,4
281,5,44,10.47,3.0,7.47,3
282,5,44,6.98,2.0,4.98,2
283,4,122,13.0,4.56,8.44,4
284,4,123,6.5,2.28,4.22,2
285,3,72,10.8,3.6,7.2,3
286,1,123,18.75,6.5,12.25,5
287,3,124,3.6,1.2,2.4,1
288,5,125,24.43,7.0,17.43,7
289,3,125,10.8,3.6,7.2,3
290,2,39,14.4,4.4,10.0,4
291,1,126,11.25,3.9,7.35,3
292,3,127,10.8,3.6,7.2,3
293,4,91,29.25,10.26,18.99,9
294,3,71,3.6,1.2,2.4,1
295,4,73,3.25,1.14,2.11,1
296,2,74,18.0,5.5,12.5,5
297,2,74,36.0,11.0,25.0,10
298,5,74,27.92,8.0,19.92,8
299,5,30,13.96,4.0,9.96,4
300,2,30,10.8,3.3,7.5,3
301,1,128,22.5,7.8,14.7,6
302,4,91,13.0,4.56,8.44,4
303,2,71,3.6,1.1,2.5,1
304,4,65,9.75,3.42,6.33,3
305,4,8,6.5,2.28,4.22,2
306,5,38,24.43,7.0,17.43,7
307,5,129,13.96,4.0,9.96,4
308,3,129,7.2,2.4,4.8,2
309,5,129,24.43,7.0,17.43,7
310,5,130,24.43,7.0,17.43,7
311,2,130,10.8,3.3,7.5,3
312,2,131,10.8,3.3,7.5,3
313,5,131,6.98,2.0,4.98,2
314,3,132,18.0,6.0,12.0,5
315,4,120,16.25,5.7,10.55,5
316,5,133,10.47,3.0,7.47,3
317,9,134,26.0,24.0,2.0,8
318,3,38,21.6,7.2,14.4,6
319,8,135,40.0,20.0,20.0,2
320,5,2,13.96,4.0,9.96,4
321,2,3,10.8,3.3,7.5,3
322,1,4,11.25,3.9,7.35,3
323,1,1,7.5,2.6,4.9,2
324,5,2,31.41,9.0,22.41,9
325,4,136,22.75,7.98,14.77,7
326,4,65,22.75,7.98,14.77,7
327,3,137,7.2,2.4,4.8,2
328,2,138,7.2,2.2,5.0,2
329,2,38,18.0,5.5,12.5,5
330,4,8,6.5,2.28,4.22,2
331,3,38,7.2,2.4,4.8,2
332,4,4,6.5,2.28,4.22,2
333,3,31,36.0,12.0,24.0,10
334,5,31,10.47,3.0,7.47,3
335,9,139,16.25,15.0,1.25,5
336,3,110,10.8,3.6,7.2,3
337,1,140,26.25,9.1,17.15,7
338,2,23,18.0,5.5,12.5,5
339,2,23,7.2,2.2,5.0,2
340,2,141,7.2,2.2,5.0,2
341,3,141,14.4,4.8,9.6,4
342,5,141,10.47,3.0,7.47,3
343,5,141,3.49,1.0,2.49,1
344,1,142,30.0,10.4,19.6,8
345,5,15,10.47,3.0,7.47,3
346,3,74,14.4,4.8,9.6,4
347,5,143,24.43,7.0,17.43,7
348,5,12,17.45,5.0,12.45,5
349,1,144,15.0,5.2,9.8,4
350,4,144,13.0,4.56,8.44,4
351,8,145,40.0,20.0,20.0,2
352,2,12,10.8,3.3,7.5,3
353,4,144,9.75,3.42,6.33,3
354,1,1,18.75,6.5,12.25,5
355,1,1,15.0,5.2,9.8,4
356,9,146,13.0,12.0,1.0,4
357,1,45,18.75,6.5,12.25,5
358,2,147,10.8,3.3,7.5,3
359,5,147,20.94,6.0,14.94,6
360,3,132,7.2,2.4,4.8,2
361,2,148,7.2,2.2,5.0,2
362,3,148,7.2,2.4,4.8,2
363,3,149,7.2,2.4,4.8,2
364,5,149,24.43,7.0,17.43,7
365,2,149,18.0,5.5,12.5,5
366,4,4,3.25,1.14,2.11,1
367,1,4,15.0,5.2,9.8,4
368,4,91,16.25,5.7,10.55,5
369,5,2,17.45,5.0,12.45,5
370,1,1,7.5,2.6,4.9,2
371,4,150,6.5,2.28,4.22,2
372,2,3,18.0,5.5,12.5,5
373,1,4,7.5,2.6,4.9,2
374,1,4,22.5,7.8,14.7,6
375,5,151,6.98,2.0,4.98,2
376,5,152,6.98,2.0,4.98,2
377,1,153,18.75,6.5,12.25,5
378,4,51,9.75,3.42,6.33,3
379,4,96,26.0,9.12,16.88,8
380,5,132,17.45,5.0,12.45,5
381,2,32,21.6,6.6,15.0,6
382,4,55,29.25,10.26,18.99,9
383,2,132,10.8,3.3,7.5,3
384,5,132,17.45,5.0,12.45,5
385,4,154,26.0,9.12,16.88,8
386,2,2,7.2,2.2,5.0,2
387,1,155,11.25,3.9,7.35,3
388,2,3,7.2,2.2,5.0,2
389,3,3,10.8,3.6,7.2,3
390,1,42,15.0,5.2,9.8,4
391,4,42,16.25,5.7,10.55,5
392,3,32,18.0,6.0,12.0,5
393,5,156,3.49,1.0,2.49,1
394,1,91,7.5,2.6,4.9,2
395,3,157,7.2,2.4,4.8,2
396,3,44,25.2,8.4,16.8,7
397,5,158,10.47,3.0,7.47,3
398,2,132,18.0,5.5,12.5,5
399,5,132,3.49,1.0,2.49,1
400,4,55,22.75,7.98,14.77,7
401,4,55,9.75,3.42,6.33,3
402,2,159,18.0,5.5,12.5,5
403,5,159,10.47,3.0,7.47,3
404,1,160,11.25,3.9,7.35,3
405,4,160,6.5,2.28,4.22,2
406,4,160,3.25,1.14,2.11,1
407,3,20,28.8,9.6,19.2,8
408,9,161,26.0,24.0,2.0,8
409,5,162,34.9,10.0,24.9,10
410,1,163,22.5,7.8,14.7,6
411,2,2,25.2,7.7,17.5,7
412,3,3,7.2,2.4,4.8,2
413,4,164,9.75,3.42,6.33,3
414,2,165,10.8,3.3,7.5,3
415,3,30,7.2,2.4,4.8,2
416,4,1,16.25,5.7,10.55,5
417,1,166,11.25,3.9,7.35,3
418,1,166,18.75,6.5,12.25,5
419,3,167,21.6,7.2,14.4,6
420,1,150,15.0,5.2,9.8,4
421,3,168,10.8,3.6,7.2,3
422,5,38,13.96,4.0,9.96,4
423,4,8,29.25,10.26,18.99,9
424,5,38,13.96,4.0,9.96,4
425,3,38,18.0,6.0,12.0,5
426,3,38,10.8,3.6,7.2,3
427,2,38,18.0,5.5,12.5,5
428,4,8,13.0,4.56,8.44,4
429,2,3,3.6,1.1,2.5,1
430,2,169,7.2,2.2,5.0,2
431,5,39,3.49,1.0,2.49,1
432,5,170,17.45,5.0,12.45,5
433,4,163,3.25,1.14,2.11,1
434,6,171,1.25,0.6,0.65,1
435,1,172,30.0,10.4,19.6,8
436,1,173,22.5,7.8,14.7,6
437,2,174,14.4,4.4,10.0,4
438,2,174,18.0,5.5,12.5,5
439,1,8,7.5,2.6,4.9,2
440,4,175,19.5,6.84,12.66,6
441,2,176,7.2,2.2,5.0,2
442,5,176,17.45,5.0,12.45,5
443,1,177,18.75,6.5,12.25,5
444,3,176,18.0,6.0,12.0,5
445,5,176,10.47,3.0,7.47,3
446,1,178,26.25,9.1,17.15,7
447,5,113,6.98,2.0,4.98,2
448,2,2,18.0,5.5,12.5,5
449,5,2,20.94,6.0,14.94,6
450,5,2,10.47,3.0,7.47,3
451,3,2,32.4,10.8,21.6,9
452,5,2,13.96,4.0,9.96,4
453,2,2,10.8,3.3,7.5,3
454,6,179,2.5,1.2,1.3,2
455,2,180,21.6,6.6,15.0,6
456,2,180,7.2,2.2,5.0,2
457,1,42,18.75,6.5,12.25,5
458,3,162,14.4,4.8,9.6,4
459,1,163,11.25,3.9,7.35,3
460,4,163,16.25,5.7,10.55,5
461,4,163,9.75,3.42,6.33,3
462,3,3,10.8,3.6,7.2,3
463,1,181,18.75,6.5,12.25,5
464,5,182,17.45,5.0,12.45,5
465,6,183,6.25,3.0,3.25,5
466,2,182,7.2,2.2,5.0,2
467,3,184,14.4,4.8,9.6,4
468,3,20,21.6,7.2,14.4,6
469,3,20,25.2,8.4,16.8,7
470,4,21,6.5,2.28,4.22,2
471,2,2,14.4,4.4,10.0,4
472,2,38,7.2,2.2,5.0,2
473,5,185,6.98,2.0,4.98,2
474,4,83,29.25,10.26,18.99,9
475,4,186,6.5,2.28,4.22,2
476,5,81,10.47,3.0,7.47,3
477,1,187,18.75,6.5,12.25,5
478,2,3,10.8,3.3,7.5,3
479,2,3,25.2,7.7,17.5,7
480,2,30,14.4,4.4,10.0,4
481,6,188,2.5,1.2,1.3,2
482,3,38,39.6,13.2,26.4,11
483,2,38,10.8,3.3,7.5,3
484,4,189,9.75,3.42,6.33,3
485,4,190,13.0,4.56,8.44,4
486,1,190,11.25,3.9,7.35,3
487,1,8,11.25,3.9,7.35,3
488,4,8,19.5,6.84,12.66,6
489,4,8,6.5,2.28,4.22,2
490,1,8,22.5,7.8,14.7,6
491,1,8,7.5,2.6,4.9,2
492,3,141,18.0,6.0,12.0,5
493,5,141,10.47,3.0,7.47,3
494,2,141,7.2,2.2,5.0,2
495,5,141,3.49,1.0,2.49,1
496,2,141,18.0,5.5,12.5,5
497,1,142,7.5,2.6,4.9,2
498,3,141,7.2,2.4,4.8,2
499,1,123,15.0,5.2,9.8,4
500,2,191,39.6,12.1,27.5,11
501,4,8,6.5,2.28,4.22,2
502,1,192,3.75,1.3,2.45,1
503,3,193,7.2,2.4,4.8,2
504,3,193,14.4,4.8,9.6,4
505,5,194,13.96,4.0,9.96,4
506,5,32,13.96,4.0,9.96,4
507,1,122,11.25,3.9,7.35,3
508,5,195,17.45,5.0,12.45,5
509,3,195,21.6,7.2,14.4,6
510,3,195,10.8,3.6,7.2,3
511,3,195,7.2,2.4,4.8,2
512,3,195,14.4,4.8,9.6,4
513,9,161,6.5,6.0,0.5,2
514,2,3,18.0,5.5,12.5,5
515,2,3,10.8,3.3,7.5,3
516,4,4,3.25,1.14,2.11,1
517,7,196,6.0,3.2,2.8,4
518,1,197,3.75,1.3,2.45,1
519,5,198,10.47,3.0,7.47,3
520,1,199,15.0,5.2,9.8,4
521,2,39,10.8,3.3,7.5,3
522,4,200,6.5,2.28,4.22,2
523,3,201,28.8,9.6,19.2,8
524,4,8,22.75,7.98,14.77,7
525,5,38,48.86,14.0,34.86,14
526,1,8,15.0,5.2,9.8,4
527,1,8,26.25,9.1,17.15,7
528,2,38,7.2,2.2,5.0,2
529,1,8,7.5,2.6,4.9,2
530,3,38,18.0,6.0,12.0,5
531,2,3,10.8,3.3,7.5,3
532,3,3,25.2,8.4,16.8,7
533,5,202,10.47,3.0,7.47,3
534,4,203,19.5,6.84,12.66,6
535,4,203,29.25,10.26,18.99,9
536,1,203,11.25,3.9,7.35,3
537,2,202,3.6,1.1,2.5,1
538,3,38,7.2,2.4,4.8,2
539,5,38,13.96,4.0,9.96,4
540,3,38,3.6,1.2,2.4,1
541,1,8,3.75,1.3,2.45,1
542,4,8,6.5,2.28,4.22,2
543,4,204,9.75,3.42,6.33,3
544,1,8,3.75,1.3,2.45,1
545,5,38,10.47,3.0,7.47,3
546,1,205,11.25,3.9,7.35,3
547,4,51,16.25,5.7,10.55,5
548,1,51,11.25,3.9,7.35,3
549,2,206,10.8,3.3,7.5,3
550,5,206,3.49,1.0,2.49,1
551,1,51,15.0,5.2,9.8,4
552,3,32,10.8,3.6,7.2,3
553,4,42,9.75,3.42,6.33,3
554,1,42,11.25,3.9,7.35,3
555,4,42,13.0,4.56,8.44,4
556,5,32,17.45,5.0,12.45,5
557,2,38,10.8,3.3,7.5,3
558,4,8,6.5,2.28,4.22,2
559,2,38,14.4,4.4,10.0,4
560,2,207,14.4,4.4,10.0,4
561,3,208,7.2,2.4,4.8,2
562,5,208,6.98,2.0,4.98,2
563,3,39,10.8,3.6,7.2,3
564,2,39,21.6,6.6,15.0,6
565,1,209,3.75,1.3,2.45,1
566,4,45,19.5,6.84,12.66,6
567,1,210,7.5,2.6,4.9,2
568,2,38,10.8,3.3,7.5,3
569,2,38,3.6,1.1,2.5,1
570,4,211,19.5,6.84,12.66,6
571,5,212,6.98,2.0,4.98,2
572,3,3,7.2,2.4,4.8,2
573,4,4,26.0,9.12,16.88,8
574,5,213,24.43,7.0,17.43,7
575,2,138,10.8,3.3,7.5,3
576,2,39,32.4,9.9,22.5,9
577,3,39,7.2,2.4,4.8,2
578,1,65,7.5,2.6,4.9,2
579,4,8,29.25,10.26,18.99,9
580,5,3,10.47,3.0,7.47,3
581,3,54,18.0,6.0,12.0,5
582,1,214,7.5,2.6,4.9,2
583,3,38,7.2,2.4,4.8,2
584,3,38,14.4,4.8,9.6,4
585,5,215,10.47,3.0,7.47,3
586,5,2,17.45,5.0,12.45,5
587,5,216,10.47,3.0,7.47,3
588,3,216,14.4,4.8,9.6,4
589,1,217,26.25,9.1,17.15,7
590,1,4,11.25,3.9,7.35,3
591,3,125,3.6,1.2,2.4,1
592,5,125,17.45,5.0,12.45,5
593,5,38,17.45,5.0,12.45,5
594,5,56,10.47,3.0,7.47,3
595,5,32,24.43,7.0,17.43,7
596,2,218,25.2,7.7,17.5,7
597,1,219,15.0,5.2,9.8,4
598,2,220,14.4,4.4,10.0,4
599,6,221,3.75,1.8,1.95,3
600,9,222,6.5,6.0,0.5,2
601,5,3,13.96,4.0,9.96,4
602,2,3,7.2,2.2,5.0,2
603,2,223,7.2,2.2,5.0,2
604,3,223,32.4,10.8,21.6,9
605,2,138,7.2,2.2,5.0,2
606,6,224,13.75,6.6,7.15,11
607,3,107,7.2,2.4,4.8,2
608,1,1,7.5,2.6,4.9,2
609,4,123,19.5,6.84,12.66,6
610,5,72,17.45,5.0,12.45,5
611,5,72,6.98,2.0,4.98,2
612,4,209,22.75,7.98,14.77,7
613,1,209,11.25,3.9,7.35,3
614,2,225,25.2,7.7,17.5,7
615,5,226,10.47,3.0,7.47,3
616,2,3,14.4,4.4,10.0,4
617,4,4,9.75,3.42,6.33,3
618,3,3,14.4,4.8,9.6,4
619,3,3,3.6,1.2,2.4,1
620,5,30,3.49,1.0,2.49,1
621,1,18,26.25,9.1,17.15,7
622,2,19,10.8,3.3,7.5,3
623,4,18,9.75,3.42,6.33,3
624,1,227,7.5,2.6,4.9,2
625,3,228,10.8,3.6,7.2,3
626,2,228,10.8,3.3,7.5,3
627,4,4,6.5,2.28,4.22,2
628,1,4,18.75,6.5,12.25,5
629,5,3,20.94,6.0,14.94,6
630,1,91,11.25,3.9,7.35,3
631,2,71,7.2,2.2,5.0,2
632,4,18,16.25,5.7,10.55,5
633,3,19,21.6,7.2,14.4,6
634,4,65,9.75,3.42,6.33,3
635,3,39,7.2,2.4,4.8,2
636,2,39,7.2,2.2,5.0,2
637,5,39,10.47,3.0,7.47,3
638,4,229,9.75,3.42,6.33,3
639,5,230,3.49,1.0,2.49,1
640,1,4,22.5,7.8,14.7,6
641,4,4,6.5,2.28,4.22,2
642,4,231,19.5,6.84,12.66,6
643,4,231,9.75,3.42,6.33,3
644,8,232,100.0,50.0,50.0,5
645,5,3,6.98,2.0,4.98,2
646,5,233,10.47,3.0,7.47,3
647,4,234,9.75,3.42,6.33,3
648,3,235,10.8,3.6,7.2,3
649,2,235,10.8,3.3,7.5,3
650,3,235,7.2,2.4,4.8,2
651,2,235,18.0,5.5,12.5,5
652,1,234,11.25,3.9,7.35,3
653,2,235,7.2,2.2,5.0,2
654,9,236,3.25,3.0,0.25,1
655,2,237,10.8,3.3,7.5,3
656,3,237,10.8,3.6,7.2,3
657,5,237,13.96,4.0,9.96,4
658,1,76,11.25,3.9,7.35,3
659,3,237,3.6,1.2,2.4,1
660,2,238,3.6,1.1,2.5,1
661,4,163,6.5,2.28,4.22,2
662,1,65,7.5,2.6,4.9,2
663,5,39,10.47,3.0,7.47,3
664,4,65,9.75,3.42,6.33,3
665,5,38,10.47,3.0,7.47,3
666,4,190,16.25,5.7,10.55,5
667,3,239,21.6,7.2,14.4,6
668,4,55,6.5,2.28,4.22,2
669,3,132,32.4,10.8,21.6,9
670,5,2,10.47,3.0,7.47,3
671,4,1,22.75,7.98,14.77,7
672,1,42,11.25,3.9,7.35,3
673,5,39,6.98,2.0,4.98,2
674,6,240,7.5,3.6,3.9,6
675,4,241,22.75,7.98,14.77,7
676,3,39,7.2,2.4,4.8,2
677,4,42,22.75,7.98,14.77,7
678,3,2,7.2,2.4,4.8,2
679,2,2,7.2,2.2,5.0,2
680,3,147,7.2,2.4,4.8,2
681,4,140,6.5,2.28,4.22,2
682,5,242,10.47,3.0,7.47,3
683,1,243,11.25,3.9,7.35,3
684,4,243,6.5,2.28,4.22,2
685,4,244,13.0,4.56,8.44,4
686,1,244,7.5,2.6,4.9,2
687,10,245,30.0,6.0,24.0,3
688,4,246,9.75,3.42,6.33,3
689,6,135,5.0,2.4,2.6,4
690,5,149,3.49,1.0,2.49,1
691,4,8,6.5,2.28,4.22,2
692,2,247,14.4,4.4,10.0,4
693,1,8,33.75,11.7,22.05,9
694,5,38,3.49,1.0,2.49,1
695,4,8,6.5,2.28,4.22,2
696,1,248,18.75,6.5,12.25,5
697,3,249,10.8,3.6,7.2,3
