order_date,ship_date,city,state_province,division,region,product_name,sales,units,gross_profit,cost,factory,coli_index,product_id,location_id,factory_name
2023-11-14,2023-11-14,Atlanta,Georgia,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,92.5,2,15,Lot's O' Nuts
2024-09-07,2024-09-07,Providence,Rhode Island,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,110.6,4,16,Wicked Choccy's
2024-09-07,2024-09-07,Providence,Rhode Island,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,110.6,1,16,Wicked Choccy's
2024-12-11,2024-12-11,New York City,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,125.1,5,3,Lot's O' Nuts
2024-12-11,2024-12-11,New York City,New York,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,125.1,1,4,Wicked Choccy's
2024-12-11,2024-12-11,New York City,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,125.1,5,3,Lot's O' Nuts
2021-05-04,2021-05-04,Middletown,Connecticut,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,112.7,1,17,Wicked Choccy's
2023-07-17,2023-07-18,Springfield,Missouri,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,89.0,1,18,Wicked Choccy's
2023-07-17,2023-07-18,Springfield,Missouri,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,89.0,2,19,Lot's O' Nuts
2023-07-17,2023-07-18,Springfield,Missouri,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8.0,Lot's O' Nuts,89.0,5,19,Lot's O' Nuts
2023-07-17,2023-07-18,Springfield,Missouri,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,89.0,5,19,Lot's O' Nuts
2023-07-17,2023-07-18,Springfield,Missouri,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,89.0,3,19,Lot's O' Nuts
2023-08-26,2023-08-29,Detroit,Michigan,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,90.1,2,20,Lot's O' Nuts
2023-08-26,2023-08-29,Detroit,Michigan,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,90.1,2,20,Lot's O' Nuts
2023-08-26,2023-08-29,Detroit,Michigan,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,90.1,1,21,Wicked Choccy's
2023-08-26,2023-08-29,Detroit,Michigan,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,90.1,5,20,Lot's O' Nuts
2024-04-15,2024-04-16,Concord,North Carolina,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,97.8,1,22,Wicked Choccy's
2021-06-22,2021-06-23,Chester,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,97.2,3,23,Lot's O' Nuts
2021-06-22,2021-06-23,Chester,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,97.2,1,24,Wicked Choccy's
2021-06-22,2021-06-23,Chester,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,97.2,4,24,Wicked Choccy's
2021-12-01,2021-12-01,Lowell,Massachusetts,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,141.2,3,25,Lot's O' Nuts
2021-12-01,2021-12-01,Lowell,Massachusetts,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,141.2,4,26,Wicked Choccy's
2022-11-17,2022-11-20,Oklahoma City,Oklahoma,Chocolate,Interior,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,86.0,3,27,Lot's O' Nuts
2022-11-17,2022-11-20,Oklahoma City,Oklahoma,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,86.0,3,27,Lot's O' Nuts
2022-11-17,2022-11-20,Oklahoma City,Oklahoma,Chocolate,Interior,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,86.0,3,27,Lot's O' Nuts
2023-07-04,2023-07-04,San Francisco,California,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,142.3,3,2,Lot's O' Nuts
2023-07-04,2023-07-04,San Francisco,California,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,142.3,4,1,Wicked Choccy's
2023-07-04,2023-07-04,San Francisco,California,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,142.3,3,2,Lot's O' Nuts
2023-07-04,2023-07-04,San Francisco,California,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,142.3,5,2,Lot's O' Nuts
2023-09-04,2023-09-04,Georgetown,Kentucky,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,92.5,1,28,Wicked Choccy's
2023-09-04,2023-09-04,Georgetown,Kentucky,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,92.5,2,29,Lot's O' Nuts
2023-09-04,2023-09-04,Georgetown,Kentucky,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,92.5,4,28,Wicked Choccy's
2023-09-04,2023-09-04,Georgetown,Kentucky,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,92.5,1,28,Wicked Choccy's
2024-11-05,2024-11-05,San Diego,California,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,142.3,5,30,Lot's O' Nuts
2021-02-18,2021-02-20,Arlington,Texas,Chocolate,Interior,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,92.1,3,31,Lot's O' Nuts
2021-03-07,2021-03-07,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,114.1,5,32,Lot's O' Nuts
2021-03-07,2021-03-07,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,114.1,3,32,Lot's O' Nuts
2023-11-10,2023-11-10,Oklahoma City,Oklahoma,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,86.0,4,33,Wicked Choccy's
2023-11-10,2023-11-10,Oklahoma City,Oklahoma,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,86.0,5,27,Lot's O' Nuts
2022-09-18,2022-09-20,Des Moines,Washington,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,114.1,4,34,Wicked Choccy's
2023-03-13,2023-03-14,Waynesboro,Virginia,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,100.8,4,35,Wicked Choccy's
2023-03-13,2023-03-14,Waynesboro,Virginia,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,100.8,1,35,Wicked Choccy's
2023-03-13,2023-03-14,Waynesboro,Virginia,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,100.8,2,36,Lot's O' Nuts
2023-08-29,2023-08-30,Concord,New Hampshire,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,111.4,5,37,Lot's O' Nuts
2023-09-01,2023-09-01,New York City,New York,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,125.1,2,3,Lot's O' Nuts
2023-09-01,2023-09-01,New York City,New York,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,125.1,3,3,Lot's O' Nuts
2023-09-01,2023-09-01,New York City,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,125.1,5,3,Lot's O' Nuts
2023-09-01,2023-09-01,New York City,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,125.1,5,3,Lot's O' Nuts
2023-09-01,2023-09-01,New York City,New York,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,125.1,1,4,Wicked Choccy's
2024-05-07,2024-05-08,Los Angeles,California,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,142.3,2,38,Lot's O' Nuts
2024-09-16,2024-09-17,Philadelphia,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,97.2,5,39,Lot's O' Nuts
2024-11-05,2024-11-05,Greenwood,Indiana,Other,Interior,Wonka Gum,3.75,3,1.95,1.8,Secret Factory,91.0,6,40,Secret Factory
2024-11-05,2024-11-05,Greenwood,Indiana,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,91.0,1,41,Wicked Choccy's
2024-11-05,2024-11-05,Greenwood,Indiana,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13.0,Wicked Choccy's,91.0,1,41,Wicked Choccy's
2024-11-06,2024-11-09,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,114.1,1,42,Wicked Choccy's
2024-11-06,2024-11-09,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,114.1,3,32,Lot's O' Nuts
2024-11-06,2024-11-09,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,114.1,4,42,Wicked Choccy's
2021-12-20,2021-12-20,Indianapolis,Indiana,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,91.0,5,43,Lot's O' Nuts
2021-12-20,2021-12-20,Indianapolis,Indiana,Chocolate,Interior,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,91.0,3,43,Lot's O' Nuts
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot's O' Nuts,92.1,2,44,Lot's O' Nuts
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,92.1,2,44,Lot's O' Nuts
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,Wicked Choccy's,92.1,4,45,Wicked Choccy's
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,92.1,4,45,Wicked Choccy's
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,92.1,1,45,Wicked Choccy's
2022-11-07,2022-11-08,Houston,Texas,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,92.1,5,44,Lot's O' Nuts
2023-02-02,2023-02-03,New York City,New York,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,125.1,1,4,Wicked Choccy's
2023-09-25,2023-09-26,Phoenix,Arizona,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,110.7,3,46,Lot's O' Nuts
2023-12-17,2023-12-17,Detroit,Michigan,Chocolate,Interior,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6,Lot's O' Nuts,90.1,3,20,Lot's O' Nuts
2024-05-18,2024-05-18,Portland,Oregon,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,111.8,3,47,Lot's O' Nuts
2024-06-05,2024-06-05,Pearland,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,92.1,2,48,Lot's O' Nuts
2024-08-03,2024-08-03,Bloomington,Illinois,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,94.7,4,49,Wicked Choccy's
2024-09-19,2024-09-21,Phoenix,Arizona,Chocolate,Pacific,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,110.7,4,50,Wicked Choccy's
2024-09-19,2024-09-21,Phoenix,Arizona,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,110.7,3,46,Lot's O' Nuts
2024-09-19,2024-09-21,Phoenix,Arizona,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,110.7,5,46,Lot's O' Nuts
2024-09-19,2024-09-21,Phoenix,Arizona,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,110.7,4,50,Wicked Choccy's
2024-11-19,2024-11-19,Henderson,Kentucky,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,92.5,4,51,Wicked Choccy's
2024-11-19,2024-11-19,Henderson,Kentucky,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,92.5,1,51,Wicked Choccy's
2021-03-05,2021-03-05,Yonkers,New York,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,125.1,1,52,Wicked Choccy's
2021-03-05,2021-03-05,Yonkers,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,125.1,5,53,Lot's O' Nuts
2021-03-05,2021-03-05,Yonkers,New York,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,125.1,1,52,Wicked Choccy's
2021-03-05,2021-03-05,Yonkers,New York,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,125.1,5,53,Lot's O' Nuts
2022-09-10,2022-09-11,Tulsa,Oklahoma,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,86.0,3,54,Lot's O' Nuts
2023-01-31,2023-01-31,Dallas,Texas,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,92.1,1,55,Wicked Choccy's
2024-09-04,2024-09-04,Long Beach,New York,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,125.1,3,56,Lot's O' Nuts
2024-11-19,2024-11-19,Carrollton,Texas,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,92.1,5,57,Lot's O' Nuts
2024-11-19,2024-11-19,Carrollton,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,92.1,2,57,Lot's O' Nuts
2024-11-19,2024-11-19,Carrollton,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,92.1,2,57,Lot's O' Nuts
2021-11-16,2021-11-16,Decatur,Illinois,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,94.7,2,58,Lot's O' Nuts
2022-03-28,2022-03-29,Los Angeles,California,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot's O' Nuts,142.3,2,38,Lot's O' Nuts
2022-03-28,2022-03-29,Los Angeles,California,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy's,142.3,1,8,Wicked Choccy's
2022-05-10,2022-05-11,Louisville,Colorado,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,102.7,1,59,Wicked Choccy's
2022-06-25,2022-06-27,Los Angeles,California,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,142.3,2,38,Lot's O' Nuts
2022-06-25,2022-06-27,Los Angeles,California,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,142.3,1,8,Wicked Choccy's
2024-03-30,2024-03-30,Lakewood,California,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,142.3,3,60,Lot's O' Nuts
2024-04-14,2024-04-14,Toledo,Ohio,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,94.3,3,61,Lot's O' Nuts
2024-04-14,2024-04-14,Toledo,Ohio,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,94.3,2,61,Lot's O' Nuts
2024-09-15,2024-09-16,Lebanon,Tennessee,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,90.3,1,62,Wicked Choccy's
2024-12-05,2024-12-05,Bellevue,Washington,Chocolate,Pacific,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,114.1,4,63,Wicked Choccy's
2024-12-05,2024-12-05,Bellevue,Washington,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,114.1,5,64,Lot's O' Nuts
2021-07-22,2021-07-24,Los Angeles,California,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,Wicked Choccy's,142.3,1,8,Wicked Choccy's
2022-05-08,2022-05-08,New York City,New York,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,125.1,2,3,Lot's O' Nuts
2022-12-03,2022-12-04,Philadelphia,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,97.2,4,65,Wicked Choccy's
2022-12-03,2022-12-04,Philadelphia,Pennsylvania,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,97.2,3,39,Lot's O' Nuts
2023-06-26,2023-06-26,Plano,Texas,Sugar,Interior,SweeTARTS,3.0,2,1.4,1.6,Sugar Shack,92.1,7,66,Sugar Shack
2023-10-23,2023-10-24,Seattle,Washington,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,Lot's O' Nuts,114.1,5,32,Lot's O' Nuts
2023-12-20,2023-12-20,Jackson,Mississippi,Chocolate,Gulf,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,87.3,4,67,Wicked Choccy's
2023-12-20,2023-12-20,Jackson,Mississippi,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,87.3,1,67,Wicked Choccy's
2024-06-02,2024-06-02,Lorain,Ohio,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,94.3,2,68,Lot's O' Nuts
2024-06-02,2024-06-02,Lorain,Ohio,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,94.3,2,68,Lot's O' Nuts
2024-06-16,2024-06-17,Carlsbad,New Mexico,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,93.7,4,69,Wicked Choccy's
2024-06-16,2024-06-17,Carlsbad,New Mexico,Chocolate,Pacific,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,93.7,4,69,Wicked Choccy's
2024-06-16,2024-06-17,Carlsbad,New Mexico,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,93.7,2,70,Lot's O' Nuts
2024-07-17,2024-07-17,Los Angeles,California,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,142.3,2,38,Lot's O' Nuts
2021-11-18,2021-11-21,Chicago,Illinois,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,Lot's O' Nuts,94.7,5,71,Lot's O' Nuts
2022-02-18,2022-02-18,Los Angeles,California,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,142.3,5,38,Lot's O' Nuts
2022-11-30,2022-11-30,Jacksonville,North Carolina,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,97.8,5,72,Lot's O' Nuts
2024-11-10,2024-11-10,Tucson,Arizona,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,110.7,1,73,Wicked Choccy's
2024-11-10,2024-11-10,Tucson,Arizona,Chocolate,Pacific,Wonka Bar - Milk Chocolate,45.5,14,29.54,15.96,Wicked Choccy's,110.7,4,73,Wicked Choccy's
2024-11-10,2024-11-10,Tucson,Arizona,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,Wicked Choccy's,110.7,1,73,Wicked Choccy's
2024-11-10,2024-11-10,Tucson,Arizona,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,110.7,5,74,Lot's O' Nuts
2024-11-10,2024-11-10,Tucson,Arizona,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,110.7,1,73,Wicked Choccy's
2021-07-12,2021-07-13,San Francisco,California,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,142.3,3,2,Lot's O' Nuts
2021-07-12,2021-07-13,San Francisco,California,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,142.3,3,2,Lot's O' Nuts
